location,floor,first_recommendation_id,first_recommendation_count,second_recommendation_id,second_recommendation_count
1312 Rodin,13,38,,39,
1312 Rodin,,52,,,
506 English House,,52,,,
506 English House,,52,,,
136 Hill,,29,,,
410 Lauder College House,,48,,,
1314 Harnwell,13,11,,12,
1314 Harnwell,,52,,,
1314 Harnwell,13,11,,12,
1314 Harnwell,,52,,,
,,52,,,
2404 Rodin,24,44,,,
2404 Rodin,,52,,,
237D Stouffer,,52,,,
212A Stouffer,,52,,,
811 Harrison,8,20,,,
811 Harrison,,52,,,
,,52,,,
527 Hill,,29,,,
208 Van Pelt,,50,,,
524 Hill,,29,,,
524 Hill,,29,,,
1313 Harnwell,13,11,,12,
1313 Harnwell,,52,,,
2108 Rodin,21,42,,43,
2108 Rodin,,52,,,
2108 Rodin,21,42,,43,
2108 Rodin,,52,,,
2108 Rodin,21,42,,43,
2108 Rodin,,52,,,
1408 Rodin,14,39,,,
1408 Rodin,,52,,,
366 Hill,,29,,,
329 Hill,,29,,,
804 Rodin,8,36,,,
804 Rodin,,52,,,
528 Hill,,29,,,
303 Van Pelt,,50,,,
206 Hill,,29,,,
1203 Harrison,12,22,,,
1203 Harrison,,52,,,
1203 Harrison,12,22,,,
1203 Harrison,,52,,,
1203 Harrison,12,22,,,
1203 Harrison,,52,,,
311 Harrison,3,49,,18,
311 Harrison,,52,,,
311 Harrison,3,49,,18,
311 Harrison,,52,,,
516 English House,,52,,,
516 English House,,52,,,
2011 Harnwell,20,15,,,
2011 Harnwell,,52,,,
2011 Harnwell,20,15,,,
2011 Harnwell,,52,,,
602 Mayer Hall,,31,,,
2209 Harrison,22,27,,,
2209 Harrison,,52,,,
2209 Harrison,22,27,,,
2209 Harrison,,52,,,
560 Hill,,29,,,
450 Kings Court,,52,,,
450 Kings Court,,52,,,
710 Lauder College House,,48,,,
1313 Harrison,13,22,,23,
1313 Harrison,,52,,,
1313 Harrison,13,22,,23,
1313 Harrison,,52,,,
1313 Harrison,13,22,,23,
1313 Harrison,,52,,,
1403 Harrison,14,23,,,
1403 Harrison,,52,,,
1906 Rodin,19,41,,42,
1906 Rodin,,52,,,
1906 Rodin,19,41,,42,
1906 Rodin,,52,,,
1906 Rodin,19,41,,42,
1906 Rodin,,52,,,
513 Hill,,29,,,
1309 Harrison,13,22,,23,
1309 Harrison,,52,,,
1309 Harrison,13,22,,23,
1309 Harrison,,52,,,
1309 Harrison,13,22,,23,
1309 Harrison,,52,,,
1508 Harnwell,15,12,,13,
1508 Harnwell,,52,,,
1508 Harnwell,15,12,,13,
1508 Harnwell,,52,,,
312 Rodin,3,33,,34,
312 Rodin,,52,,,
312 Rodin,3,33,,34,
312 Rodin,,52,,,
355 Hill,,29,,,
355 Hill,,29,,,
421 Lauder College House,,48,,,
421 Lauder College House,,48,,,
326 Kings Court,,52,,,
326 Kings Court,,52,,,
326 Kings Court,,52,,,
326 Kings Court,,52,,,
419 Van Pelt,,50,,,
1917 Harrison,19,25,,26,
1917 Harrison,,52,,,
1917 Harrison,19,25,,26,
1917 Harrison,,52,,,
425 English House,,52,,,
425 English House,,52,,,
146 Kings Court,,52,,,
146 Kings Court,,52,,,
437 Hill,,29,,,
203 Hill,,29,,,
1413 Rodin,14,39,,,
1413 Rodin,,52,,,
442 Hill,,29,,,
2111 Harrison,21,26,,27,
2111 Harrison,,52,,,
2111 Harrison,21,26,,27,
2111 Harrison,,52,,,
2111 Harrison,21,26,,27,
2111 Harrison,,52,,,
402 Class of 25,,52,,,
247D Stouffer,,52,,,
,,52,,,
425 Lauder College House,,48,,,
207 English House,,52,,,
100 Kings Court,,52,,,
100 Kings Court,,52,,,
503 Harrison,5,18,,19,
503 Harrison,,52,,,
503 Harrison,5,18,,19,
503 Harrison,,52,,,
500 English House,,52,,,
500 English House,,52,,,
543 Hill,,29,,,
1214 Harrison,12,22,,,
1214 Harrison,,52,,,
1214 Harrison,12,22,,,
1214 Harrison,,52,,,
1214 Harrison,12,22,,,
1214 Harrison,,52,,,
309 English House,,52,,,
240D Stouffer,,52,,,
